M,n_tasks,algorithm,run,cvr_mean,robust_util_total_mean,util_total_mean,time_mean_ms,time_std_ms,time_p99_ms,time_max_ms,timeout_rate
5,50,DG,0,0.2350994324433169,1.0513879160612505,0.5045214196110109,2.0756489974446595,0.0030501719752407,0.0863140751607716,0.0877000857144594,0.0
5,50,EPD-FF,0,0.150326259499015,1.0310528381993291,0.4998668720285152,2.182557003572583,0.0552416560057303,0.3184028645046055,0.3186999820172786,0.0
5,50,RA-LNS,0,0.0994279141723697,1.0588375698355788,0.5110088247016705,5.050172007177039,4.1735557906868905,115.5374720110558,117.00979992747308,1.0
5,50,RG,0,0.1927668097937938,1.0443112549825682,0.5058165605153285,2.22109400248155,0.0413635400045726,0.3763368376530707,0.3898998256772756,0.0
5,50,Std-LNS,0,0.1874279141723698,1.0588375698355788,0.5110088247016705,4.797663406818187,4.1735557906868905,115.5374720110558,117.00979992747308,1.0
5,50,DG,1,0.0736957779927507,0.929129264408071,0.4525059250939782,2.084769995883107,0.0193550630087716,0.1373441121540964,0.1515999902039766,0.0
5,50,EPD-FF,1,0.0410185195609344,0.9067463536822936,0.4538598597553829,2.139614990912378,0.0348445746567759,0.2217929321341224,0.3696000203490257,0.0
5,50,RA-LNS,1,0.0142422514996847,0.9269993573845504,0.4522571459697817,5.730336005799487,3.5070651587301884,114.29909296799453,117.85249994136392,1.0
5,50,RG,1,0.0464962364635943,0.9260203697547432,0.4516862150035887,2.225844006054104,0.0444758586522613,0.3763381857424974,0.3800999838858843,0.0
5,50,Std-LNS,1,0.1022422514996848,0.9269993573845504,0.4522571459697817,5.443819205509513,3.5070651587301884,114.29909296799453,117.85249994136392,1.0
5,50,DG,2,0.083129591417314,0.9383489763107808,0.4506873313667252,2.0846880045719445,0.0188692749440898,0.1416069152764976,0.1423000358045101,0.0
5,50,EPD-FF,2,0.0479712918660287,0.9190154927252604,0.460993365994747,2.138753992505372,0.0287026430791248,0.2200001594610512,0.2299000043421983,0.0
5,50,RA-LNS,2,0.013258097986648,0.928586409896978,0.4559551430465554,5.753834010101841,3.3650987097715297,113.55034207226709,114.2772000748664,1.0
5,50,RG,2,0.0455489603696461,0.9257826698254814,0.4530250989773432,2.2307240036316216,0.0501167641577664,0.3843598999083044,0.4200001712888479,0.0
5,50,Std-LNS,2,0.1012580979866481,0.928586409896978,0.4559551430465554,5.466142309596749,3.3650987097715297,113.55034207226709,114.2772000748664,1.0
5,50,DG,3,0.0717776273888656,0.9205104334628004,0.4411170117187624,2.0820239749737084,0.0171341343469349,0.1403920189477503,0.1494998577982187,0.0
5,50,EPD-FF,3,0.0427329017731493,0.8999314489421232,0.4402058036411542,2.132760009728372,0.0271721461781287,0.2283709915354848,0.23539992980659,0.0
5,50,RA-LNS,3,0.0156057141792041,0.918815611467164,0.4417716596639511,5.529751002322882,3.2317081917913693,112.92094393866137,113.62820002250372,1.0
5,50,RG,3,0.0455118122875305,0.9179867927429796,0.4414385047669801,2.231299998704344,0.0580398503477929,0.380321084521712,0.5902999546378851,0.0
5,50,Std-LNS,3,0.1036057141792042,0.918815611467164,0.4417716596639511,5.253263452206738,3.2317081917913693,112.92094393866137,113.62820002250372,1.0
5,50,DG,4,0.2566350324051202,1.0629492728263712,0.5113432360399299,2.0806830101646483,0.0199332101998966,0.1735120406374335,0.1747000496834516,0.0
5,50,EPD-FF,4,0.1735339150014072,1.039982492089314,0.509987589556567,2.154010003898293,0.0289148209633513,0.243732105009258,0.2864999696612358,0.0
5,50,RA-LNS,4,0.1199721187570093,1.071488136893331,0.5178298564340504,4.218387019354836,3.053717190380316,111.19784013833852,112.7561000175774,1.0
5,50,RG,4,0.2182689681661574,1.0568227031325428,0.5115663486622237,2.2198720234446228,0.0372292158583945,0.3633119724690914,0.3744000568985939,0.0
5,50,Std-LNS,4,0.2079721187570093,1.071488136893331,0.5178298564340504,4.007467668387094,3.053717190380316,111.19784013833852,112.7561000175774,1.0
5,50,DG,5,0.1995962085386764,1.0286954377682629,0.4944443923720225,2.080564017407596,0.0120629506603567,0.1121861534193159,0.1306000631302595,0.0
5,50,EPD-FF,5,0.1293726991274979,1.0031123184651958,0.4992198963213364,2.147124002687633,0.0252758112453305,0.2239090739749372,0.2347000408917665,0.0
5,50,RA-LNS,5,0.0824205112752058,1.031555698083822,0.4971714478239507,4.307502005249262,3.364671321851766,111.52191786561164,113.94920013844968,1.0
5,50,RG,5,0.1586834444527251,1.019741684681826,0.4958467142707278,2.2225470053963363,0.0395970445232222,0.3711071470752358,0.3718000371009111,0.0
5,50,Std-LNS,5,0.1704205112752058,1.031555698083822,0.4971714478239507,4.092126904986799,3.364671321851766,111.52191786561164,113.94920013844968,1.0
5,50,DG,6,0.0852918702798756,0.9291950781746168,0.4475964421615205,2.0819920073263347,0.014000822795055,0.1243581320159137,0.1301001757383346,0.0
5,50,EPD-FF,6,0.0501142696312975,0.910032070579534,0.4384852309957571,2.132277011871338,0.0260069011667668,0.224460845347494,0.2502999268472194,0.0
5,50,RA-LNS,6,0.0175945244034654,0.9238276840363204,0.4507850049473018,5.461289999075234,3.641536340862836,113.5616809502244,113.96569991484284,1.0
5,50,RG,6,0.050749691865831,0.9226497202754804,0.4488074509182095,2.2209660038352013,0.0375796923806839,0.374010936357081,0.3849999047815799,0.0
5,50,Std-LNS,6,0.1055945244034654,0.9238276840363204,0.4507850049473018,5.188225499121472,3.641536340862836,113.5616809502244,113.96569991484284,1.0
5,50,DG,7,0.1407787359304482,0.996035985863572,0.4760651756952163,2.0813869992271066,0.0131801111299254,0.1252150232903659,0.1267001498490572,0.0
5,50,EPD-FF,7,0.0846082746974388,0.974054384597536,0.4721023359560289,2.1420380221679807,0.0296040507463227,0.2378540625795722,0.2530999481678009,0.0
5,50,RA-LNS,7,0.0579140636406844,0.996574962043874,0.4791121056918886,5.413443001452833,3.7323071063972577,112.88782196119428,114.543299889192,1.0
5,50,RG,7,0.1126012485883154,0.9908995911910152,0.47723696388805,2.2242810162715614,0.0424741295288795,0.3626520838588477,0.3777001984417438,0.0
5,50,Std-LNS,7,0.1459140636406845,0.996574962043874,0.4791121056918886,5.142770851380192,3.7323071063972577,112.88782196119428,114.543299889192,1.0
5,50,DG,8,0.1077865455436212,0.9656568450960824,0.4627400178113675,2.079863998107612,0.0151770599545244,0.1316500664688649,0.1761999446898698,0.0
5,50,EPD-FF,8,0.0650992400788066,0.9480482774517024,0.4569783485539823,2.1395439938642085,0.0282589099487547,0.2250709664076567,0.2419999800622463,0.0
5,50,RA-LNS,8,0.0312701575950368,0.964554059868044,0.4658536304073597,5.732432974036783,3.5196522291222347,113.13947208458558,113.88910003006458,1.0
5,50,RG,8,0.0791865487253277,0.9603898435432164,0.4643667446614921,2.228698004502803,0.0450976820823555,0.3758740681223572,0.3832001239061355,0.0
5,50,Std-LNS,8,0.1192701575950369,0.964554059868044,0.4658536304073597,5.445811325334944,3.5196522291222347,113.13947208458558,113.88910003006458,1.0
5,50,DG,9,0.0498235218407603,0.8886674203871783,0.4251342012686558,2.080018995795399,0.014463146046854,0.1340762013569475,0.1514998730272054,0.0
5,50,EPD-FF,9,0.0356690121024486,0.86701651074291,0.4282764752225813,2.130045998375863,0.022032358023975,0.1894169277511538,0.2208000514656305,0.0
5,50,RA-LNS,9,0.0048979189253839,0.884535963760769,0.4282366171792266,4.663611999712884,3.168648107810615,110.7615238800645,113.38740005157888,1.0
5,50,RG,9,0.0269563452707854,0.8847467969589764,0.4261740228702569,2.225058998912573,0.0400694979243963,0.3647018666379154,0.364899868145585,0.0
5,50,Std-LNS,9,0.092897918925384,0.884535963760769,0.4282366171792266,4.43043139972724,3.168648107810615,110.7615238800645,113.38740005157888,1.0
5,50,DG,10,0.2669581702005755,1.068757503091262,0.5132291525100906,2.0809039874002337,0.0162497383531473,0.1327121909707787,0.1735000405460596,0.0
5,50,EPD-FF,10,0.1772642837039121,1.0408655431677971,0.5146508958272168,2.1576950028538704,0.0292922731479743,0.2504650410264732,0.2965000458061695,0.0
5,50,RA-LNS,10,0.1618960332524598,1.0859815218530735,0.526455390295233,4.329238974023596,3.03371166207918,111.0137508250773,112.07809997722508,1.0
5,50,RG,10,0.2386818392886831,1.066402041934515,0.515229900930866,2.2277950034476817,0.0532136502267478,0.3834538860246546,0.5076001398265362,0.0
5,50,Std-LNS,10,0.2498960332524599,1.0859815218530735,0.526455390295233,4.1127770253224165,3.03371166207918,111.0137508250773,112.07809997722508,1.0
5,50,DG,11,0.1920282325197107,1.0230324410074891,0.4914963004853976,2.084477006457746,0.0160645621129898,0.1327141933143139,0.1340999733656644,0.0
5,50,EPD-FF,11,0.121515113988179,0.997158788930319,0.4914892635282545,2.150717990472913,0.033849774625933,0.2596089965663851,0.2703999634832144,0.0
