algorithm,run,cvr_mean,cvr_std,per_server_vr_mean,U_max_mean,O1_mean,excess_mean,time_mean_ms,time_p99_ms,feasible_rate,exp_makespan_mean,util_new_mean,util_total_mean,robust_util_total_mean,time_std_ms,time_p50_ms,time_max_ms,timeout_rate
DG,0,0.13363000000000003,0.06796832424004581,0.014356000000000002,1.158743951883749,2669.683352963385,31.996020625638593,0.19884000066667795,0.32103299861773854,0.02,1209.8803128912475,0.4683990313833321,0.4692280635247625,0.9763411364578726,0.04857803995044109,0.17484999261796474,0.3341999836266041,0.0
RG,0,0.07596000000000001,0.05646519636023593,0.007994,1.0563594082925356,2571.5630013727014,15.478019722884623,0.6365030037704855,0.8470290247350946,0.19,1480.178436683336,0.47354738479722114,0.4743682104292967,0.9580188182550708,0.1455019500683201,0.700149976182729,1.1171998921781778,0.0
EPD-FF,0,0.08275,0.05388160632349411,0.008665,1.078348386636875,2472.9904120841243,16.423468060763803,0.5791210022289306,0.9858720190823103,0.54,1797.1385375859522,0.4708950361070666,0.4714379733064928,0.9485696134894881,0.17703563688647034,0.5097999819554389,1.4682000037282705,0.0
Std-LNS,0,0.15192999999999998,0.07397759863634397,0.016422000000000003,1.2015152324853084,2624.134382967881,37.99459247420742,30.889282999560237,42.32009997940622,0.01,1069.7622236684513,0.470828039473908,0.4719644042807456,0.9793178318968124,3.6421363910693696,30.18104995135218,42.69629996269941,0.0
RA-LNS,0,0.06464,0.046253112327712606,0.006791,0.9806900971891213,2374.7871901910003,11.191778242148398,107.553063997766,125.78959800419398,0.76,1555.2734249652265,0.47632681998146814,0.4765669345919916,0.958208502973042,6.28346756009361,106.21999995782971,126.70019990764558,1.0
DG,1,0.15367,0.08126205202922211,0.016759999999999997,1.191305468986103,2680.745521079863,38.914538937832894,0.17429599887691438,0.19594197510741673,0.01,1198.8086192577925,0.46872167267713793,0.4712514689510172,0.9841605100351692,0.007827533390557612,0.17315003788098693,0.23969996254891157,0.0
RG,1,0.08957999999999998,0.06219472324884163,0.009549999999999998,1.0657461735926639,2554.4929304301054,18.027854806473762,0.41151199606247246,0.42685498949140316,0.16,1504.035061150282,0.47212120996522655,0.4731255080237676,0.9679932286798509,0.006709010117998841,0.4100000369362533,0.44219999108463526,0.0
EPD-FF,1,0.09790000000000001,0.06600689357938305,0.010383,1.1023787519549828,2480.270407648217,20.88935794145614,0.4405019979458302,0.5380369059275836,0.44,1895.6757290338826,0.46842906799579337,0.4696416075776236,0.9607919117551154,0.04206726102414107,0.4373499541543424,0.5416999338194728,0.0
Std-LNS,1,0.16082000000000002,0.08383130441547477,0.017527,1.1906798944601156,2635.541993508544,41.07509956180456,27.41553699481301,28.931929040700197,0.03,1070.3855259428606,0.4702131703758889,0.47369975724609725,0.9870392282151224,0.31721984561887356,27.35180000308901,28.964499942958355,0.0
RA-LNS,1,0.07868000000000001,0.058403917676813424,0.008372000000000001,0.9934514469054859,2403.0525378996435,14.400642600179001,107.26930300006643,123.44414906692698,0.66,1582.8286813968398,0.47386080971117317,0.4753425709492676,0.969183898791086,6.416532125026757,105.57529999641702,138.05149996187538,1.0
DG,2,0.03808,0.027603507023564955,0.0038840000000000007,1.0217121204767943,2655.737860521962,8.114188061566907,0.16912799794226885,0.17862806911580328,0.41,1193.7929763231677,0.40787575225263645,0.40861828681486423,0.8579533119369112,0.01347201307348526,0.16799999866634607,0.30019995756447315,0.0
RG,2,0.01584,0.012908694744241183,0.0015990000000000002,0.9278814589511738,2590.2684927740283,3.069474433466198,0.4120499931741506,0.43187901261262707,0.89,1497.1124930208305,0.41042589383669265,0.41046090625029774,0.8458690822860058,0.02435155687897278,0.4093999741598964,0.6476000417023897,0.0
EPD-FF,2,0.049010000000000005,0.009990490478449993,0.005007999999999999,0.9932056254588043,2792.2771132151493,7.590259066477475,0.43868500157259405,0.6714179844129835,1.0,2057.2569038297206,0.40566419920706365,0.4060581907272469,0.8060100077818768,0.085590821340911,0.4070000140927732,0.7524000247940421,0.0
Std-LNS,2,0.0409,0.0275432387347603,0.0041789999999999996,1.0328536751224031,2633.9126884975108,9.000463998195022,30.055259998189285,42.659478987334325,0.36,1062.781856653751,0.40905908530659824,0.4097086625570672,0.8597400622182468,4.270782963932525,27.426550048403442,47.77569998987019,0.0
RA-LNS,2,0.011169999999999998,0.01136226649925093,0.001125,0.9022688570077665,2376.785045694123,1.7226701247349014,106.46061999374069,121.34966807905585,1.0,1670.5202668796053,0.4125659262416403,0.4126705664821776,0.8498271953484262,5.474142263560811,105.01959995599464,122.18800000846386,1.0
DG,3,0.10357999999999999,0.05626778474402559,0.010910999999999999,1.1363760807068786,2657.6246641556813,24.561985857920902,0.17024000291712582,0.18773203133605426,0.02,1184.5303924596583,0.4508875805886914,0.45139092193455044,0.9439846996372132,0.004881027552477177,0.16920000780373812,0.20080001559108496,0.0
RG,3,0.052000000000000005,0.035278888871391634,0.005392,1.0184925903887223,2542.5179439528756,10.36068980754846,0.41028099600225687,0.42349596507847315,0.41,1496.080347654382,0.4544641408927748,0.45476291733662966,0.9299393200856572,0.005434921393515683,0.4094999749213457,0.4330000374466181,0.0
EPD-FF,3,0.06365,0.02156078616377427,0.006569,1.033371563830089,2524.516454629173,10.517951033538871,0.41501899366267025,0.48486808198504155,0.68,1916.8702172483565,0.4476600188322499,0.4478707435504422,0.9148933514811414,0.03354975979913747,0.41274999966844916,0.49160001799464226,0.0
Std-LNS,3,0.11152000000000001,0.057227699586825956,0.011779,1.1529669903785738,2624.805985485143,26.54534147292428,27.30419400613755,28.30414796015249,0.01,1055.991687135306,0.452390976472407,0.45291677414745585,0.9469996206381679,0.38210801928771226,27.255449967924505,30.813599936664104,0.0
RA-LNS,3,0.04506,0.0332351681205316,0.004654999999999999,0.9575616362828377,2371.9360082515577,7.279356447447395,106.93761300412007,122.80463894829155,0.87,1574.9240669370308,0.4566219501436776,0.4570329197178337,0.9317092838903434,5.493769821067156,105.97284999676049,125.61019998975098,1.0
DG,4,0.22369000000000003,0.10354329480946606,0.025498000000000003,1.244747452908037,2667.663885686545,61.168981810898906,0.17161399824544787,0.19116993877105445,0.0,1179.616690080026,0.49435590921193684,0.4968136276106061,1.035451597393879,0.008738857686635485,0.1700000138953328,0.2476000227034092,0.0
RG,4,0.15281,0.10372306349120239,0.01721,1.1286851278616863,2529.311625350361,32.7578552425334,0.41150601231493056,0.43831707793287933,0.03,1511.3705389107686,0.4978757077091193,0.499666460345304,1.0197201014066541,0.006516932957279812,0.4102999810129404,0.44000009074807167,0.0
EPD-FF,4,0.15116999999999997,0.10523469532430833,0.016795,1.1793921995995924,2457.6381753117603,37.649960652826465,0.46949700568802655,0.5989960196893663,0.14,1844.6333931468505,0.492785280252021,0.494545186296472,1.011907978296743,0.049792309922424595,0.46800001291558146,0.618400052189827,0.0
