alpha,kappa_solver,kappa_eval,algorithm,run,cvr_mean,robust_util_total_mean,makespan_mean,util_total_mean,exp_makespan_mean,robust_load_ratio_mean
0.05,4.358898943540674,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.05,4.358898943540674,2.38,RG,0,0.19240000000000002,0.9695559377384577,2492.8144825793015,0.4783492868614851,1717.840831348045,0.9674074779922228
0.05,4.358898943540674,2.38,RA-LNS,0,0.024428,0.9923128055488174,2550.9217027144327,0.4769085706634986,1555.717798192151,0.95849185089516551
0.1,3.0,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.1,3.0,2.38,RG,0,0.08384,0.9612084727274349,2519.5166490041624,0.4753166118609971,1581.1340434881768,0.9615637182275742
0.1,3.0,2.38,RA-LNS,0,0.030903,0.9930644407124954,2557.8363179218836,0.4813727425691347,1620.2009636080745,0.96847388993204937
0.15,2.3804761428476167,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.15,2.3804761428476167,2.38,RG,0,0.07593000000000001,0.9579948856312894,2573.599382235529,0.4743867711842751,1476.6555389768228,0.9596516793560381
0.15,2.3804761428476167,2.38,RA-LNS,0,0.055,0.97932209346086,2367.266494980025,0.4765607520368703,1560.5447885230067,0.979661856214033218
0.2,2.0,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.2,2.0,2.38,RG,0,0.07605,0.9555737575031807,2598.2124696058318,0.4729670438508706,1438.5307868521684,0.9580206650129884
0.2,2.0,2.38,RA-LNS,0,0.10730000000000001,0.9594743886996779,2381.966274142904,0.47617314866327226,1522.3167101533027,0.984592479950249698
0.25,1.7320508075688772,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.25,1.7320508075688772,2.38,RG,0,0.08116,0.9532296773206497,2642.0015143086116,0.47203392267067146,1387.8928980816281,0.9563798623042744
0.25,1.7320508075688772,2.38,RA-LNS,0,0.146559,0.958582432059321,2389.023683762345,0.47614726182636263,1524.071266704022,0.987074796827833
0.3,1.5275252316519468,2.38,DG,0,0.13363000000000003,0.9763411364578726,2669.683352963385,0.4692280635247625,1209.8803128912475,0.9753072579493454
0.3,1.5275252316519468,2.38,RG,0,0.08474,0.9530075253278636,2651.848263703992,0.4719605610546548,1361.619905021206,0.9563698744748305
0.3,1.5275252316519468,2.38,RA-LNS,0,0.166445,0.9583816234450387,2390.8356693441774,0.47625817351381317,1519.3559139845952,0.98807583621315381174
